Q30817157|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q33268922|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35345107|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q34501428|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33302687|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35836661|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q31040530|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33298837|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33285314|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q38664312|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q28742191|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q34734378|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q30654220|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q33509394|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q47131123|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q47131123|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q64933384|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30363549|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q31135471|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q24816203|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30479591|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30976509|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q31130296|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q30998758|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q29048149|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q100956853|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34459632|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q31160383|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33398657|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q55342389|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33248721|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q33528232|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q48104108|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q34432967|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36277298|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q42628246|P4510|Q114076767|P1932|"MODA"|S248|Q114078827
Q58761827|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q31018196|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q28750880|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q91834583|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33562300|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q33791371|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q59340195|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35761459|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q55294975|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q21260385|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q34443653|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q30978860|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q61801986|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q64967034|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q36087804|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q35097604|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q26851333|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q59340808|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q91191973|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q91380232|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q35076861|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q35037251|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33602255|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q49584618|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q93059800|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q64951365|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q47098343|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q28593838|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33290988|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q33290987|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36201331|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q30235125|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q99571265|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q112727776|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q112295499|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q42965316|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36008528|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q42209260|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q21283961|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q21283866|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q33581385|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q33401099|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33349637|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q21146728|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q59330356|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q33476005|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q28727434|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28749521|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q64271966|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q28608651|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33488340|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33874251|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28595733|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q24812006|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q57175443|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35707306|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
